sku,title,slug,description,variant,price,stock,imageUrl,category,subcategory,brand,mpPreferenceId,externalRef,status
ALQ-CLEANPROTEINCACAU6-018,Clean Protein - Cacau 675g,clean-protein-cacau-675g,Proteína vegana (ervilha) sem aditivos e sem adoçantes. Sabor cacau.,Cacau,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/clean-protein-cacau-675g-alquimia,draft
ALQ-CLEANPROTEINBANANA-019,Clean Protein - Banana & Canela 675g,clean-protein-banana-canela-675g,Proteína vegana clean label com sabor Banana & Canela.,Banana & Canela,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-CLEANPROTEIN-020,Clean Protein,clean-protein,"Proteína vegana pura, feita com 4 ingredientes reais; sem açúcar, sem glúten e sem lactose.",,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/clean-protein,draft
ALQ-POLENPROTEINSMOOTH-021,Pólen Protein - Smoothie Açaí & Banana 350g,polen-protein-smoothie-acai-banana-350g,Smoothie proteico com pólen e frutas; suporte a recuperação e energia.,Açaí & Banana,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-POLENPROTEINSMOOTH-022,Pólen Protein - Smoothie Frutas Vermelhas 350g,polen-protein-smoothie-frutas-vermelhas-350g,Smoothie proteico com pólen e frutas vermelhas.,Frutas Vermelhas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-NACNACETILLCISTEIN-023,NAC N-Acetil L-Cisteína 500mg - 120 Cápsulas Vegetais,nac-n-acetil-l-cisteina-500mg-120-capsulas-vegetais,NAC 500mg em cápsulas vegetais.,120 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-NACNACETILCISTEINA-024,NAC N-Acetil Cisteína 500mg - OUTLET,nac-n-acetil-cisteina-500mg-outlet,NAC 500mg com condição promocional (outlet).,,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-COQ10COENZIMAQ1060-025,CO-Q10 Coenzima Q10 - 60 Cápsulas Vegetais,co-q10-coenzima-q10-60-capsulas-vegetais,Coenzima Q10 em cápsulas vegetais.,60 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-ACAFRAOBLENDTERMOG-026,Açafrão Blend Termogênico - 60 Cápsulas Vegetais,acafrao-blend-termogenico-60-capsulas-vegetais,Blend termogênico em cápsulas com cúrcuma e especiarias.,60 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-CURCUMA60CAPSULASV-027,Cúrcuma - 60 Cápsulas Vegetais,curcuma-60-capsulas-vegetais,Cápsulas vegetais de cúrcuma.,60 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-SPIRULINA110CAPSUL-028,Spirulina - 110 Cápsulas Vegetais,spirulina-110-capsulas-vegetais,Spirulina em cápsulas vegetais.,110 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-ORAPRONOBISORGANIC-029,Ora-Pro-Nóbis Orgânica 500mg - 60 Cápsulas Vegetais,ora-pro-nobis-organica-500mg-60-capsulas-vegetais,Ora-pro-nóbis orgânica 500mg em cápsulas vegetais.,500mg; 60 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-DETOXSUPERGREENS90-030,Detox Supergreens - 90 Cápsulas Vegetais,detox-supergreens-90-capsulas-vegetais,Blend detox com supergreens em cápsulas.,90 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-DIGESTIVOAYURVEDIC-031,Digestivo Ayurvédico - 60 Cápsulas Vegetais,digestivo-ayurvedico-60-capsulas-vegetais,Fórmula digestiva inspirada na ayurveda.,60 cápsulas,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-MANTEIGAGHEE500G-032,Manteiga Ghee 500g,manteiga-ghee-500g,Ghee tradicional (manteiga clarificada).,500g,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-OLEODECOCOEMPO250G-033,Óleo de Coco em Pó - 250g,oleo-de-coco-em-po-250g,Óleo de coco em pó para uso em receitas e shakes.,250g,,,,Suplemento,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
ALQ-BONEEXCLUSIVOALQUI-034,Boné exclusivo - Alquimia da Saúde,bone-exclusivo-alquimia-da-saude,Boné exclusivo da marca.,,,,,Vestuário,,Alquimia da Saúde,,https://www.alquimiadasaude.com.br/todos-os-produtos,draft
